DATE,CN,PN
190201,10,0.48842278122901917
190201,28,0.48842278122901917
190201,44,0.48842278122901917
190201,20,0.48842278122901917
190201,43,0.48842278122901917
190201,29,0.48842278122901917
190201,12,0.48842278122901917
190201,18,0.48842278122901917
190201,45,0.48842278122901917
190201,11,0.48842278122901917
190201,14,0.48842278122901917
190201,6,0.48842278122901917
190201,24,0.48842278122901917
190201,8,0.48842278122901917
190201,17,0.48842278122901917
190201,14,0.48842278122901917
190201,9,0.48842278122901917
190201,36,0.48842278122901917
190201,10,0.48842278122901917
190201,15,0.48842278122901917
190201,31,0.48842278122901917
190201,19,0.48842278122901917
190201,37,0.48842278122901917
190201,14,0.48842278122901917
190201,19,0.48842278122901917
190201,2,0.48842278122901917
190201,58,0.48842278122901917
190201,11,0.48842278122901917
190201,43,0.48842278122901917
190201,21,0.48842278122901917
190201,9,0.48842278122901917
190201,4,0.48842278122901917
190201,23,0.48842278122901917
190201,15,0.48842278122901917
190201,6,0.48842278122901917
190201,11,0.48842278122901917
190201,3,0.48842278122901917
190201,12,0.48842278122901917
190201,36,0.48842278122901917
190201,18,0.48842278122901917
190201,48,0.48842278122901917
190201,37,0.48842278122901917
190201,15,0.48842278122901917
190201,11,0.48842278122901917
190201,16,0.48842278122901917
190201,31,0.48842278122901917
190201,17,0.48842278122901917
190201,13,0.48842278122901917
190201,20,0.48842278122901917
190201,10,0.48842278122901917
190201,45,0.48842278122901917
190201,10,0.48842278122901917
190201,15,0.48842278122901917
190201,33,0.48842278122901917
190201,15,0.48842278122901917
190201,19,0.48842278122901917
190201,21,0.48842278122901917
190201,3,0.48842278122901917
190201,20,0.48842278122901917
190201,21,0.48842278122901917
190201,16,0.48842278122901917
190201,2,0.48842278122901917
190201,21,0.48842278122901917
190201,14,0.48842278122901917
190201,8,0.48842278122901917
190201,14,0.48842278122901917
190201,17,0.48842278122901917
190201,19,0.48842278122901917
190202,3,0.48842278122901917
190202,4,0.48842278122901917
190202,1,0.48842278122901917
190202,1,0.48842278122901917
190202,3,0.48842278122901917
