DATE,CN,AMT,PN
20190201,11,595,-0.1298816885266985
20190201,5,243,-0.1298816885266985
20190201,5,27,-0.1298816885266985
20190201,11,243,-0.1298816885266985
20190201,11,433,-0.1298816885266985
20190201,11,460,-0.1298816885266985
20190201,5,325,-0.1298816885266985
20190201,5,325,-0.1298816885266985
20190201,5,189,-0.1298816885266985
20190201,5,325,-0.1298816885266985
20190201,11,352,-0.1298816885266985
20190201,5,271,-0.1298816885266985
20190201,11,433,-0.1298816885266985
20190201,5,635,-0.1298816885266985
20190201,5,1095,-0.1298816885266985
20190201,5,432,-0.1298816885266985
20190201,11,2207,-0.1298816885266985
20190201,27,5358,-0.1298816885266985
20190201,16,1163,-0.1298816885266985
20190201,16,649,-0.1298816885266985
20190201,5,94,-0.1298816885266985
20190201,11,315,-0.1298816885266985
20190201,27,903,-0.1298816885266985
20190201,11,208,-0.1298816885266985
20190201,5,6,-0.1298816885266985
20190201,49,1985,-0.1298816885266985
20190201,54,2808,-0.1298816885266985
20190201,16,1184,-0.1298816885266985
20190201,16,836,-0.1298816885266985
20190201,5,866,-0.1298816885266985
20190201,16,2759,-0.1298816885266985
20190201,5,216,-0.1298816885266985
20190201,5,162,-0.1298816885266985
20190201,14,1038,-0.1298816885266985
20190201,59,4635,-0.1298816885266985
20190201,41,3046,-0.1298816885266985
20190201,59,5995,-0.1298816885266985
20190201,45,5172,-0.1298816885266985
20190201,59,9292,-0.1298816885266985
20190201,14,1219,-0.1298816885266985
20190201,9,1335,-0.1298816885266985
20190201,32,3213,-0.1298816885266985
20190201,54,7095,-0.1298816885266985
20190201,14,2106,-0.1298816885266985
20190201,68,4251,-0.1298816885266985
20190201,86,8508,-0.1298816885266985
20190201,104,12004,-0.1298816885266985
20190201,63,4559,-0.1298816885266985
20190201,63,4813,-0.1298816885266985
20190201,86,30789,-0.1298816885266985
20190201,27,749,-0.1298816885266985
20190201,36,1137,-0.1298816885266985
20190201,27,4048,-0.1298816885266985
20190201,5,18,-0.1298816885266985
20190201,23,1695,-0.1298816885266985
20190201,23,1076,-0.1298816885266985
20190201,14,486,-0.1298816885266985
20190201,41,2282,-0.1298816885266985
20190201,23,192,-0.1298816885266985
20190201,14,314,-0.1298816885266985
20190201,5,181,-0.1298816885266985
20190201,14,490,-0.1298816885266985
20190201,23,1208,-0.1298816885266985
20190201,27,1865,-0.1298816885266985
20190201,9,186,-0.1298816885266985
20190201,18,1699,-0.1298816885266985
20190201,18,184,-0.1298816885266985
20190201,5,14747,-0.1298816885266985
20190201,18,1252,-0.1298816885266985
20190201,14,230,-0.1298816885266985
20190201,27,1634,-0.1298816885266985
20190201,18,170,-0.1298816885266985
20190201,5,24,-0.1298816885266985
20190201,14,1246,-0.1298816885266985
20190201,23,1847,-0.1298816885266985
20190201,14,1182,-0.1298816885266985
20190201,18,623,-0.1298816885266985
20190201,9,838,-0.1298816885266985
20190201,5,362,-0.1298816885266985
20190201,36,1583,-0.1298816885266985
20190201,14,179,-0.1298816885266985
20190201,36,1196,-0.1298816885266985
20190201,18,657,-0.1298816885266985
20190201,27,8738,-0.1298816885266985
20190201,18,1515,-0.1298816885266985
20190201,27,846,-0.1298816885266985
20190201,27,1835,-0.1298816885266985
20190201,14,284,-0.1298816885266985
20190201,14,421,-0.1298816885266985
20190201,9,289,-0.1298816885266985
20190201,5,136,-0.1298816885266985
20190201,23,604,-0.1298816885266985
20190201,5,158,-0.1298816885266985
20190201,14,1122,-0.1298816885266985
20190201,32,669,-0.1298816885266985
20190201,14,473,-0.1298816885266985
20190201,18,164,-0.1298816885266985
20190201,5,208,-0.1298816885266985
20190201,14,82,-0.1298816885266985
20190201,9,298,-0.1298816885266985
20190201,36,4454,-0.1298816885266985
20190201,54,7553,-0.1298816885266985
20190201,72,2798,-0.1298816885266985
20190201,36,3661,-0.1298816885266985
20190201,50,9102,-0.1298816885266985
20190201,14,969,-0.1298816885266985
20190201,45,9075,-0.1298816885266985
20190201,18,294,-0.1298816885266985
