DATE,CN,PN
190201,4,-0.5076049500041537
190201,1,-0.5076049500041537
190201,6,-0.5076049500041537
190201,2,-0.5076049500041537
190201,2,-0.5076049500041537
190201,3,-0.5076049500041537
190201,4,-0.5076049500041537
190201,8,-0.5076049500041537
190201,5,-0.5076049500041537
190201,2,-0.5076049500041537
190201,5,-0.5076049500041537
190201,2,-0.5076049500041537
190201,16,-0.5076049500041537
190201,7,-0.5076049500041537
190201,2,-0.5076049500041537
190201,4,-0.5076049500041537
190201,6,-0.5076049500041537
190201,4,-0.5076049500041537
190201,2,-0.5076049500041537
190201,3,-0.5076049500041537
190201,3,-0.5076049500041537
190201,7,-0.5076049500041537
190201,3,-0.5076049500041537
190201,12,-0.5076049500041537
190201,4,-0.5076049500041537
190201,2,-0.5076049500041537
190201,1,-0.5076049500041537
190201,3,-0.5076049500041537
190201,7,-0.5076049500041537
190201,1,-0.5076049500041537
190201,6,-0.5076049500041537
190201,3,-0.5076049500041537
190201,2,-0.5076049500041537
190201,1,-0.5076049500041537
190201,5,-0.5076049500041537
190201,8,-0.5076049500041537
190201,2,-0.5076049500041537
190201,7,-0.5076049500041537
190201,8,-0.5076049500041537
190201,10,-0.5076049500041537
190201,2,-0.5076049500041537
190201,6,-0.5076049500041537
190201,3,-0.5076049500041537
190201,3,-0.5076049500041537
190201,3,-0.5076049500041537
190201,3,-0.5076049500041537
190201,4,-0.5076049500041537
190201,3,-0.5076049500041537
190201,4,-0.5076049500041537
190201,4,-0.5076049500041537
190201,5,-0.5076049500041537
190201,3,-0.5076049500041537
190201,1,-0.5076049500041537
190201,3,-0.5076049500041537
190201,14,-0.5076049500041537
190201,4,-0.5076049500041537
190201,1,-0.5076049500041537
190201,4,-0.5076049500041537
190201,2,-0.5076049500041537
190201,1,-0.5076049500041537
190201,3,-0.5076049500041537
190201,1,-0.5076049500041537
190201,1,-0.5076049500041537
190201,1,-0.5076049500041537
190202,1,-0.5076049500041537
190202,1,-0.5076049500041537
190202,4,-0.5076049500041537
190202,2,-0.5076049500041537
190202,1,-0.5076049500041537
190202,1,-0.5076049500041537
190202,1,-0.5076049500041537
190202,2,-0.5076049500041537
190202,2,-0.5076049500041537
190202,1,-0.5076049500041537
190202,1,-0.5076049500041537
190203,1,-0.5076049500041537
190203,1,-0.5076049500041537
190203,2,-0.5076049500041537
190203,1,-0.5076049500041537
190203,1,-0.5076049500041537
190203,1,-0.5076049500041537
190203,1,-0.5076049500041537
190203,2,-0.5076049500041537
190203,1,-0.5076049500041537
190203,2,-0.5076049500041537
190203,2,-0.5076049500041537
190204,1,-0.5076049500041537
190204,1,-0.5076049500041537
190204,1,-0.5076049500041537
190204,2,-0.5076049500041537
190204,2,-0.5076049500041537
190204,1,-0.5076049500041537
190204,1,-0.5076049500041537
190205,1,-0.5076049500041537
190205,1,-0.5076049500041537
190205,1,-0.5076049500041537
190206,16,-0.5076049500041537
190206,9,-0.5076049500041537
190206,37,-0.5076049500041537
190206,12,-0.5076049500041537
190206,14,-0.5076049500041537
190206,7,-0.5076049500041537
190206,11,-0.5076049500041537
190206,12,-0.5076049500041537
190206,14,-0.5076049500041537
190206,8,-0.5076049500041537
190206,15,-0.5076049500041537
190206,13,-0.5076049500041537
190206,14,-0.5076049500041537
190206,6,-0.5076049500041537
190206,42,-0.5076049500041537
190206,9,-0.5076049500041537
190206,8,-0.5076049500041537
190206,7,-0.5076049500041537
190206,8,-0.5076049500041537
190206,7,-0.5076049500041537
190206,11,-0.5076049500041537
190206,8,-0.5076049500041537
190206,19,-0.5076049500041537
190206,13,-0.5076049500041537
190206,7,-0.5076049500041537
190206,4,-0.5076049500041537
190206,7,-0.5076049500041537
190206,17,-0.5076049500041537
190206,36,-0.5076049500041537
190206,22,-0.5076049500041537
190206,15,-0.5076049500041537
190206,23,-0.5076049500041537
190206,14,-0.5076049500041537
190206,26,-0.5076049500041537
190206,7,-0.5076049500041537
190206,16,-0.5076049500041537
190206,15,-0.5076049500041537
190206,14,-0.5076049500041537
190206,32,-0.5076049500041537
190206,5,-0.5076049500041537
190206,29,-0.5076049500041537
190206,2,-0.5076049500041537
190206,14,-0.5076049500041537
190206,5,-0.5076049500041537
190206,11,-0.5076049500041537
190206,22,-0.5076049500041537
190206,12,-0.5076049500041537
190206,27,-0.5076049500041537
190206,4,-0.5076049500041537
190206,12,-0.5076049500041537
190206,12,-0.5076049500041537
190206,1,-0.5076049500041537
190206,17,-0.5076049500041537
190206,1,-0.5076049500041537
190206,10,-0.5076049500041537
190206,9,-0.5076049500041537
190206,6,-0.5076049500041537
190206,6,-0.5076049500041537
190206,9,-0.5076049500041537
190206,12,-0.5076049500041537
190206,13,-0.5076049500041537
190206,3,-0.5076049500041537
190206,13,-0.5076049500041537
190206,5,-0.5076049500041537
190206,8,-0.5076049500041537
190206,13,-0.5076049500041537
190206,16,-0.5076049500041537
