DATE,PN,CN
20190201,-0.4480699698130263,9106
20190202,-0.44806996981302616,13968
20190203,-0.4480699698130284,12540
20190204,-0.4480699698130284,11282
20190205,-0.44806996981303066,10791
20190206,-0.4480699698130275,12702
20190207,-0.4480699698130275,8113
20190208,-0.4480699698130269,7822
20190209,-0.4480699698130267,11592
20190210,-0.44806996981302805,9680
20190211,-0.4480699698130273,5636
20190212,-0.44806996981302677,5945
20190213,-0.44806996981302627,6921
20190214,-0.4480699698130263,8561
20190215,-0.4480699698130265,7603
20190216,-0.4480699698130265,10494
20190217,-0.4480699698130279,9691
20190218,-0.448069969813027,6140
20190219,-0.4480699698130273,5867
20190220,-0.4480699698130269,7055
20190221,-0.44806996981302644,7210
20190222,-0.44806996981302616,7975
20190223,-0.448069969813026,11820
20190224,-0.4480699698130273,9824
20190225,-0.448069969813027,6430
20190226,-0.44806996981302777,6195
20190227,-0.4480699698130271,8001
20190228,-0.4480699698130267,7915
20190301,0.19455062349637264,10722
20190302,0.1945506234963726,9565
20190303,0.19455062349637328,7525
20190304,0.19455062349637312,4835
20190305,0.19455062349637384,4168
20190306,0.1945506234963735,7409
20190307,0.19455062349637345,6529
20190308,0.19455062349637317,7753
20190309,0.1945506234963724,13442
20190310,0.19455062349637353,10497
20190311,0.1945506234963737,5047
20190312,0.19455062349637392,4402
20190313,0.19455062349637345,5006
20190314,0.19455062349637256,7037
20190315,0.1945506234963732,5807
20190316,0.19455062349637267,10506
20190317,0.19455062349637334,8124
20190318,0.1945506234963738,4205
20190319,0.1945506234963739,4182
20190320,0.19455062349637398,4925
20190321,0.1945506234963738,5221
20190322,0.1945506234963732,6064
20190323,0.1945506234963727,10234
20190324,0.19455062349637353,7962
20190325,0.19455062349637375,4504
20190326,0.19455062349637342,4417
20190327,0.19455062349637348,6850
20190328,0.19455062349637361,5401
20190329,0.19455062349637312,6634
20190330,0.19455062349637267,10198
20190331,0.1945506234963734,9071
20190401,-0.02406144142150879,5304
20190402,-0.02406144142150879,4487
20190403,-0.02406144142150879,5084
20190404,-0.02406144142150879,5396
20190405,-0.02406144142150879,5989
20190406,-0.02406144142150879,9293
20190407,-0.02406144142150879,7541
20190408,-0.02406144142150879,4649
20190409,-0.02406144142150879,3852
20190410,-0.02406144142150879,4664
20190411,-0.02406144142150879,5062
20190412,-0.02406144142150879,6059
20190413,-0.02406144142150879,8355
20190414,-0.02406144142150879,6975
20190415,-0.02406144142150879,4396
20190416,-0.02406144142150879,4874
20190417,-0.02406144142150879,4855
20190418,-0.02406144142150879,4699
20190419,-0.02406144142150879,5318
20190420,-0.02406144142150879,7559
20190421,-0.02406144142150879,6289
20190422,-0.02406144142150879,4636
20190423,-0.02406144142150879,4392
20190424,-0.02406144142150879,12630
20190425,-0.02406144142150879,10736
20190426,-0.02406144142150879,11482
20190427,-0.02406144142150879,16799
20190428,-0.02406144142150879,15533
20190429,-0.02406144142150879,7465
20190430,-0.02406144142150879,7906
20190501,-0.497962784767147,12150
20190502,-0.49796278476714717,7298
20190503,-0.4979627847671465,9471
20190504,-0.49796278476714506,14583
20190505,-0.49796278476714556,13678
20190506,-0.4979627847671455,12168
20190507,-0.4979627847671443,13083
20190508,-0.4979627847671443,13622
20190509,-0.49796278476714817,5630
20190510,-0.49796278476714756,6612
20190511,-0.4979627847671461,10683
20190512,-0.49796278476714845,8722
20190513,-0.49796278476714767,5124
20190514,-0.49796278476714556,9134
20190515,-0.4979627847671458,7614
20190516,-0.4979627847671476,6139
20190517,-0.4979627847671474,7022
20190518,-0.4979627847671465,11053
20190519,-0.4979627847671484,9490
20190520,-0.4979627847671472,6092
20190521,-0.4979627847671475,5250
20190522,-0.4979627847671481,5118
20190523,-0.4979627847671476,5512
20190524,-0.49796278476714756,6705
20190525,-0.49796278476714667,10888
20190526,-0.4979627847671478,9483
20190527,-0.49796278476714817,5347
20190528,-0.49796278476714784,5105
20190529,-0.49796278476714767,6815
20190530,-0.49796278476714767,8392
20190531,-0.49796278476714717,10143
20200201,-0.12741482257843018,7020
20200202,-0.12741482257843018,5005
20200203,-0.12741482257843018,3885
20200204,-0.12741482257843018,4160
20200205,-0.12741482257843018,5193
20200206,-0.12741482257843018,5178
20200207,-0.12741482257843018,5010
20200208,-0.12741482257843018,6759
20200209,-0.12741482257843018,5657
20200210,-0.12741482257843018,4465
20200211,-0.12741482257843018,4605
20200212,-0.12741482257843018,5365
20200213,-0.12741482257843018,6071
20200214,-0.12741482257843018,7312
20200215,-0.12741482257843018,9065
20200216,-0.12741482257843018,6971
20200217,-0.12741482257843018,4769
20200218,-0.12741482257843018,4979
20200219,-0.12741482257843018,4616
20200220,-0.12741482257843018,4020
20200221,-0.12741482257843018,3844
20200222,-0.12741482257843018,4071
20200223,-0.12741482257843018,2928
20200224,-0.12741482257843018,2422
20200225,-0.12741482257843018,2196
20200226,-0.12741482257843018,2645
20200227,-0.12741482257843018,2511
20200228,-0.12741482257843018,2409
20200229,-0.12741482257843018,3264
20200301,0.1476357335394074,2335
20200302,0.1476357335394079,2461
20200303,0.14763573353940773,2249
20200304,0.14763573353940798,2415
20200305,0.1476357335394079,2400
